20.2947	294
24.0929	295
24.185	295
24.4777	306
24.4816	305
24.7744	304
24.7782	303
25.0831	290
25.087	267
25.0909	247
25.1917	230
25.1955	214
25.1994	202
25.4014	215
25.4863	225
25.4902	234
25.4941	242
25.696	274
26.2211	257
26.225	242
26.3549	237
26.3587	225
26.3626	215
26.3665	206
26.5003	198
26.5041	192
26.508	187
26.5119	182
26.7138	202
26.7969	214
27.1032	225
27.3048	259
27.3901	264
27.394	268
27.3979	271
27.6421	253
27.646	237
27.6499	223
27.6538	211
27.7643	201
27.7681	192
27.772	184
27.7759	177
27.7798	171
27.7837	166
27.8961	162
27.9	158
27.9039	154
27.9077	151
27.9116	149
27.9155	147
28.1174	170
28.1927	186
28.1966	200
28.2005	212
28.2043	222
28.2082	232
28.2121	240
28.4874	256
29.0806	260
29.0845	263
29.0884	266
29.2903	293
29.3598	293
29.3637	293
29.3675	292
29.3714	293
29.3753	293
29.3792	293
29.3831	293
29.6545	302
29.6583	302
29.6622	301
29.6661	301
29.67	300
29.8251	282
29.9472	280
29.9511	264
29.955	249
29.9588	237
29.9627	226
29.9666	216
29.9705	207
29.9744	201
30.0984	210
30.1023	203
30.1062	197
30.1101	192
30.1139	187
30.1178	183
30.1217	179
30.1256	176
30.1294	173
30.395	189
30.3989	202
30.4028	214
30.4067	224
30.4106	233
30.4144	241
30.4183	248
30.9227	279
30.9883	281
30.9922	284
30.996	285
30.9999	287
31.0038	288
31.0077	289
31.0115	291
31.0154	292
31.1201	305
31.314	287
31.3178	271
31.3217	258
31.3256	246
31.3295	235
31.3334	226
31.3372	218
31.4458	212
31.4729	206
31.4768	201
31.4807	197
31.4846	194
31.4884	191
31.4923	188
31.4962	186
31.5001	184
31.504	182
31.6125	194
31.7657	210
31.7696	220
31.7734	230
31.7773	238
31.7812	246
31.7851	252
31.7889	257
31.7928	262
31.7967	266
31.8006	270
31.9091	273
32.0642	277
32.3764	279
32.3802	282
32.3841	284
32.388	285
32.3919	287
32.5004	301
32.5315	304
32.5353	288
32.5392	274
32.5431	262
32.547	251
32.5508	242
32.5547	234
32.5586	227
32.5625	221
32.5663	215
32.5702	211
32.6769	206
32.7079	202
32.7117	199
32.7156	196
32.7195	194
32.7234	191
32.7273	190
32.7311	188
32.735	187
32.7389	185
32.7428	184
32.7466	184
32.8571	197
32.8882	199
32.892	197
